sr_number,emotion,genres,songs
1,sadness,['Worship'],"['God is Able', 'You are good' , 'Thank you Lord']"
2,enthusiasm,['Rock'],"['Don't stop dancing' ,'More than words' ,'Always']"
3,neutral,['Country music'],"['The Wolves','Heading South','Never Leave']"
4,worry,['Calm'],"['Ocean eyes','July','Anchor']"
5,surprise,['Celtic music'],"['The Skye boat song','Mary queen of scots','Lord:Of the dance']"
6,love,['Salsa Music'],"['Shape of you','Shivers','Please dont go']"
7,fun,['Disco'],"['Dancing queen','celebrations','You should be dancing']"
8,hate,['Classical'],"['Experience','Ala','On the nature of daylight']"
9,happiness,['Jazz'],"['Co-motion','Forever yours','Keep holding on']"
10,boredom,['Opera'],"['Handel','Norma','Turandot']"
11,relief,['Meditative'],"['Moving','Opening','Stay']"
12,anger,['Soothing'],"['River flows in you','Love yourself','I wont give up']"
13,empty,['Pop'],"['Close my eyes', 'Decease of internal light', 'The Bleakness of Elderness']"